,0,1,2,3
0,10000.001,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.010,1.008,1.012,1.006"
1,10000.0020000001,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.018,0.997,1.003,1.003"
2,10055.707339827888,0.005555074830222747,"0.00,0.00,0.00,1.00,0.00","1.000,1.023,1.021,1.008,1.001"
3,10023.34814981342,-0.003223181294144912,"0.00,1.00,0.00,0.00,0.00","1.000,1.002,0.994,0.998,1.014"
4,10129.079102842048,0.010493219685176549,"0.00,1.00,0.00,0.00,0.00","1.000,1.011,1.008,1.010,1.009"
5,10078.699156655186,-0.004986203819111256,"0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000"
6,10028.3066712615,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
7,10003.23690992109,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,0.998,1.002,0.999,1.003"
8,10003.237910244781,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.006,1.010,1.008,1.003"
9,10040.884358141242,0.0037563622551418725,"0.00,0.00,0.00,0.00,1.00","1.000,1.005,1.007,1.007,1.006"
10,10059.61036817741,0.0018632392593975835,"0.00,0.00,1.00,0.00,0.00","1.000,1.002,1.007,0.999,0.995"
11,10031.262109545643,-0.002822005612381397,"0.00,0.00,1.00,0.00,0.00","1.000,1.004,0.997,1.015,1.000"
12,9981.036360389662,-0.0050194988532757095,"0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000"
13,9981.03735599804,9.97499950626707e-08,"0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000"
14,9956.085763207038,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,0.995,1.000,1.008,1.012"
15,9956.086758815616,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,0.989,0.991,0.996,1.004"
16,9978.129464110645,0.0022115456191145115,"0.00,0.00,0.00,0.00,1.00","1.000,1.015,1.011,1.009,1.005"
17,9789.452392992382,-0.019090124675624005,"0.00,0.00,0.00,0.00,1.00","1.000,1.012,0.976,0.987,0.981"
18,9664.165866760548,-0.012880715224722158,"0.00,1.00,0.00,0.00,0.00","1.000,0.992,1.004,0.996,0.993"
19,9663.978128462564,-1.9426417563482774e-05,"0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
20,9639.819151955215,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
21,9639.820115937131,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.002,0.998,1.004,0.995"
22,9639.821079919144,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,0.991,1.006,1.013,1.009"
23,9402.609276464847,-0.02491531491617049,"0.00,1.00,0.00,0.00,0.00","1.000,0.978,0.998,1.004,1.047"
24,9291.007690950937,-0.011940215915791976,"0.00,0.00,0.00,1.00,0.00","1.000,1.010,1.004,0.993,0.990"
25,9293.366590083288,0.00025385833381822673,"0.00,0.00,0.00,0.00,1.00","1.000,1.003,0.999,1.003,1.005"
26,9247.022508587674,-0.004999267034882204,"0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
27,9200.788323058741,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
28,9177.787274630124,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,0.991,1.005,1.006,1.015"
29,9177.788192408852,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.014,0.996,0.998,1.008"
30,9211.03049945528,0.003615495243589842,"0.00,0.00,0.00,0.00,1.00","1.000,0.987,1.004,0.997,1.006"
31,8882.620378350584,-0.03630513207338328,"0.00,0.00,0.00,0.00,1.00","1.000,0.972,0.977,0.985,0.964"
32,8859.594053604209,-0.0025956554366836798,"1.00,0.00,0.00,0.00,0.00","1.000,1.003,1.011,1.006,1.014"
33,8859.594939563614,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
34,8859.595825523109,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
35,8859.596711482693,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.004,1.018,1.018,1.015"
36,8859.597597442364,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,0.994,1.008,1.007,1.011"
37,8922.297989942683,0.007052189914233346,"0.00,0.00,1.00,0.00,0.00","1.000,1.012,1.010,1.007,0.996"
38,8706.60417345589,-0.024471697517119907,"0.00,0.00,0.00,0.00,1.00","1.000,0.990,0.976,0.989,0.981"
39,8692.474773430615,-0.0016241552986085272,"0.00,0.00,0.00,1.00,0.00","1.000,0.994,0.998,1.003,0.998"
40,8649.087467783473,-0.005003862463315398,"0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
41,8627.465616185033,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
42,8627.466478931594,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,0.993,1.009,1.007,0.998"
43,8627.467341678243,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.005,1.020,1.008,1.016"
44,8540.733116084377,-0.01010414151721827,"0.00,0.00,1.00,0.00,0.00","1.000,1.003,0.992,0.991,1.001"
45,8524.1795897221,-0.0019400663618674451,"0.00,0.00,1.00,0.00,0.00","1.000,0.984,0.998,1.000,0.996"
46,8550.711960262146,0.0031077669591032414,"0.00,1.00,0.00,0.00,0.00","1.000,1.008,1.004,1.001,1.004"
47,8508.1313823567,-0.004992210255236979,"0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000"
48,8465.591578385087,-0.00501244106978055,"0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
49,8444.428448114679,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,0.999,1.002,1.004,1.010"
50,8444.429292557525,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.004,1.002,1.000,1.009"
51,8446.126435254699,0.00020095759195075003,"0.00,0.00,0.00,0.00,1.00","1.000,1.014,1.010,1.000,1.003"
52,8479.679107848819,0.003964681794202703,"0.00,0.00,0.00,0.00,1.00","1.000,1.011,1.010,0.998,1.004"
53,8456.622992617456,-0.00272268755452746,"0.00,1.00,0.00,0.00,0.00","1.000,1.002,0.999,1.004,1.000"
54,8456.575932344018,-5.564916920449372e-06,"0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
55,8414.293900454035,-0.00501244106978055,"0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
56,8393.259009235862,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
57,8393.259848561764,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,0.990,0.995,0.991,0.988"
58,8393.260687887749,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.000,0.997,1.002,0.999"
59,8465.621740324277,0.008584376468657964,"0.00,0.00,1.00,0.00,0.00","1.000,1.003,1.011,1.013,0.996"
60,8413.001909508766,-0.006235105702947999,"0.00,0.00,0.00,1.00,0.00","1.000,1.013,0.999,0.999,0.984"
61,8412.976570540539,-3.011886441937349e-06,"0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000"
62,8370.912531088738,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
63,8349.986088944996,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,1.011,1.010,1.016,1.018"
64,8349.986923943605,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,0.996,0.996,1.001,0.996"
65,8266.303614845345,-0.010072526887368337,"0.00,0.00,0.00,0.00,1.00","1.000,0.989,1.000,0.996,0.992"
66,8195.212420267913,-0.00863731340349891,"0.00,0.00,0.00,0.00,1.00","1.000,0.965,0.992,1.002,0.991"
67,8174.547875704515,-0.0025247230462120893,"1.00,0.00,0.00,0.00,0.00","1.000,1.008,0.997,0.993,1.010"
68,8154.112323470041,-0.0025030299674969883,"0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000"
69,8113.342579302451,-0.00501244106978055,"0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000"
70,8093.060036216788,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,0.993,1.008,0.996,0.992"
71,8093.060845522792,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,0.981,1.005,1.006,1.000"
72,7729.674954092648,-0.04594019698365148,"0.00,0.00,1.00,0.00,0.00","1.000,1.003,0.958,0.996,0.983"
73,7694.800441931289,-0.004521978309529223,"0.00,0.00,1.00,0.00,0.00","1.000,0.992,0.996,1.003,0.983"
74,7675.479172590659,-0.0025141090471043556,"1.00,0.00,0.00,0.00,0.00","1.000,1.001,0.995,1.002,0.990"
75,7675.479940138576,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000"
76,7656.292007836224,-0.0025030299674969883,"0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000"
77,7637.152045359907,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00","1.000,0.986,0.974,0.976,0.991"
78,7637.152809075112,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00","1.000,0.986,1.006,0.999,1.017"
