,0,1,2,3
0,10000.001,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.009,0.998,0.995,1.006,0.986"
1,10000.0020000001,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.997,0.990,0.989,0.974,1.002"
2,9687.3944749652,-0.03175979128071664,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,0.980,0.980,0.975,0.977,0.971"
3,9638.241303306455,-0.005086847150937642,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
4,9590.051063023613,-0.00501244106978055,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
5,9655.696029845583,0.006821789882269319,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.020,1.007,1.009,1.022,1.012"
6,9631.8403400722,-0.002473690934970367,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.987,0.984,0.985,1.024,0.995"
7,9631.841303256235,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.995,1.002,1.000,1.035,1.021"
8,9669.224897538508,0.0038737384392202945,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.006,1.008,1.008,1.034,1.020"
9,9554.060870310337,-0.011981864745715347,"0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.001,0.979,0.993,0.994,1.002"
10,9506.124933723127,-0.0050299654103226794,"0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
11,9458.595262043536,-0.00501244106978055,"0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
12,9301.013313568194,-0.01680052698143456,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.005,1.003,1.008,0.988,0.985"
13,9277.487382825913,-0.0025325986958211265,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.018,1.009,1.000,0.985"
14,9277.488310574652,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.009,1.030,1.071,1.000,1.045"
15,9341.718789165849,0.006899405870234992,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.002,1.014,1.001,1.009,1.032"
16,9185.833558202668,-0.016827793179033233,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,0.990,0.991,0.996,0.983,0.985"
17,9162.48073409751,-0.002545502147264486,"1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000"
18,9139.575448510339,-0.0025030299674969883,"0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000"
19,9107.663669182188,-0.0034977140000616684,"0.00,0.00,0.00,0.00,1.00,0.00","1.000,0.991,0.996,0.998,1.002,0.983"
